"","ensembl_transcript","extra","Length","hour00_rep1","hour00_rep2","hour00_rep3","hour04_rep1","hour04_rep2","hour04_rep3","hour08_rep1","hour08_rep2","hour08_rep3","hour14_rep1","hour14_rep2","hour14_rep3","gene_symbol"
"3481","ENST00000324679","4_365_1514",1153,67,61,67,59,43,63,59,84,62,139,110,135,"SAV1"
"3482","ENST00000216410","7_189_741",556,92,92,85,107,98,80,109,104,110,139,115,171,"GNPNAT1"
"3483","ENST00000261643","7_78_1407",1337,40,44,54,49,47,50,105,100,122,139,99,99,"COX10"
"3484","ENST00000320033","4_229_811",584,18,12,18,16,12,11,73,81,82,139,168,201,"ARL4D"
"3485","ENST00000262288","7_56_1412",1370,88,99,83,99,98,92,123,118,103,139,93,123,"SCPEP1"
"3486","ENST00000349038","8_74_1667",1608,234.33,279.66,266,246,269,237,199.33,204,204.33,139,115.33,147.33,"PTBP1"
"3487","ENST00000263354","7_301_1186",895,196,232,221,199,240,190,204,238,199,139,129,141,"NAPA"
"3488","ENST00000270221","10_302_791",494,755,895,844,701,751,713,555,534,456,139,140,156,"EMP3"
"3489","ENST00000379066","5_1109_3434",2341,239,230,204,220,239,213,161,171,177,139,112,135,"PRKD3"
"3490","ENST00000409807","5_336_1173",841,1055,1251,1212,580,605,480,156,161,160,139,148,139,"FHL2"
"3491","ENST00000259239","7_709_1582",883,175,234,193,201,179,165,177,193,232,139,149,164,"IMP4"
"3492","ENST00000261024","6_428_2141",1720,68,78,103,182,160,164,219,271,234,139,88,94,"SLC40A1"
"3493","ENST00000322927","2_891_4128",3260,73,89,87,60,69,63,68,107,81,139,139,152,"ZNF335"
"3494","ENST00000308234","11_526_1837",1315,528,646,572,473,484,417,306,285,249,139,101,144,"RGMB"
"3495","ENST00000370693","5_373_1006",637,69,93,74,85,89,74,172,143,150,139,109,152,"BAG2"
"3496","ENST00000341049","6_279_813",538,1628,1817,1660.5,1460.5,1534.5,1386.5,777.5,753,694.5,139,127,151,"CAV1"
"3497","ENST00000380665","3_404_3428",3038,163,148,134.5,127.5,132,121,105,99.5,111.5,139,100,118.5,"CDCA2"
"3498","ENST00000355849","9_438_1449",1021,88,86,90,102,96,88,84,112,114,139,109,93,"KHDRBS3"
"3499","ENST00000388712","7_200_1373",1181,227,198,202,213,196,193,221,222,206,139,150,164,"GOLM1"
"3500","ENST00000261220","13_31_1396",1376,93.33,106.17,99,99,83.92,78.92,93.83,108.25,96.42,138.5,106.58,118.08,"METAP2"
"3501","ENST00000546753","5_100_1465",1377,93.67,105.83,99,100,83.92,78.92,93.83,108.58,96.42,138.5,105.92,116.75,"METAP2"
"3502","ENST00000438092","6_472_5377",4933,47.5,41,51,52,54.5,51.5,84.5,87,78.5,138.5,111.5,124.5,"SHPRH"
"3503","ENST00000427660","6_124_1762",1647,131,135.5,124.5,128,126.5,114.5,121,134,123.5,138.5,83,97.5,"NUDCD1"
"3504","ENST00000524625","5_384_1824",1456,42.25,52.75,50.02,52.78,51.38,48.85,57,72.92,60.18,138.18,110.5,135.53,"ATG13"
"3505","ENST00000367274","8_151_742",596,141,163,154,166,139,138,172,146,153,138,110,132,"UBE2T"
"3506","ENST00000263036","9_674_2405",1745,375,398,351,475,407,341,309,389,340,138,103,123,"OPTN"
"3507","ENST00000284690","3_705_2721",2026,133,129,127,121,120,101,74,68,64,138,74,109,"DHX32"
"3508","ENST00000003302","8_136_3301",3188,61.5,74,69,62,57,61,74,85.5,90.5,138,113,111.5,"USP28"
"3509","ENST00000357008","6_165_5901",5774,528,626.5,576,485,424.5,417,174.5,181,160,138,123,161.5,"CHD4"
"3510","ENST00000544040","5_204_5919",5753,528,626.5,576,485,424.5,417,174.5,181,160,138,123,161.5,"CHD4"
"3511","ENST00000395805","6_792_3264",2488,45.33,44.67,34.5,51.67,52.5,50.17,68.67,79.17,74.33,138,86.67,105.83,"CAPRIN2"
"3512","ENST00000618666","4_1015_2338",1323,45.5,64.5,39.5,59.33,56,44,104,128,120,138,97.5,114.5,"CCNT1"
"3513","ENST00000204726","7_560_5054",4516,354,394,380,340,322,307.5,204.5,222.5,192.5,138,120.5,179.5,"GOLGA3"
"3514","ENST00000262133","10_354_3555",3224,382,457,361,389,387,332,270,306,281,138,118,131,"RBL2"
"3515","ENST00000393524","6_735_4503",3784,57,64,61.5,50,55,47.5,80,91,98,138,121,150,"PHLPP2"
"3516","ENST00000545507","6_516_1044",534,167.5,186.25,193.25,187.75,193.25,172.25,193.5,211,191.25,138,130.25,156.25,"BSG"
"3517","ENST00000374796","6_2803_8761",5970,168,202,171,127.5,140,120.5,70,74.5,62,138,119,131.5,"NCOA6"
"3518","ENST00000335016","9_461_3650",3205,80.5,82,86,131,139.5,119,124,138.5,117,138,102.5,121,"BMP2K"
"3519","ENST00000392477","6_370_3196",2842,32.5,44,36.67,103,124.5,96.17,127,109.33,146.83,138,98.67,130.17,"NCOA7"
"3520","ENST00000619594","4_73_373",302,83,105.5,85.5,105,100.5,78,112.5,115.5,115,138,101.5,104.5,"C8orf59"
"3521","ENST00000372146","4_565_3031",2472,162,140,128,90,97,81,137,100,155,138,159,159,"GTF3C4"
"3522","ENST00000341698","2_1_1111",1117,254,306.33,255,234,234,238.67,159.67,182,160,137.67,107.67,136.33,"TMEM189-UBE2V1"
"3523","ENST00000376718","7_125_9389",9282,555.33,549.33,547.33,585.17,598.83,482.5,355.83,369.17,375.83,137.67,113,126.67,"PRUNE2"
"3524","ENST00000443509","6_79_9265",9203,555.33,548.83,547.33,585.17,598.83,481.5,355.83,369.17,375.83,137.67,113,126.67,"PRUNE2"
"3525","ENST00000253925","11_342_3822",3507,126.5,151.5,123.5,86.5,98.5,90,104.5,129.5,119,137.5,148,167.5,"PPFIA1"
"3526","ENST00000568794","5_72_489",422,147,183,199.5,164.5,187,153.5,211,210,195.5,137.5,146,158.5,"COX4I1"
"3527","ENST00000176643","10_543_1902",1370,43,42,41,44.5,36,42,62.5,58,58.5,137.5,104.5,126.5,"ALDH3A2"
"3528","ENST00000541713","5_336_1422",1095,119,146,138.5,120.5,122.5,117,195,204.5,183,137.5,133.5,150.5,"PTPN1"
"3529","ENST00000367505","6_338_5315",5005,45.5,41,53,54,52.5,52.5,85.5,86,79.5,137.5,114.5,125.5,"SHPRH"
"3530","ENST00000588599","5_305_713",410,157.33,215.33,198.16,203.33,217.66,176.5,227.16,269.5,238,137.33,166.66,191,"SNRPD2"
"3531","ENST00000326639","10_212_2954",2761,45.33,51.33,45,47.67,46.33,29,49.67,42,49,137.33,96.67,109,"LARP1B"
"3532","ENST00000344730","7_46_3238",3204,47.59,53.18,48.24,45.05,37.01,39.36,105.86,106.45,109.87,137.18,121.28,137.86,"ABL2"
"3533","ENST00000545121","5_209_1457",1257,80,97,94,74,62,63,91,92,99,137,103,117,"CEPT1"
"3534","ENST00000294981","8_287_1397",1121,97.67,122.33,112.5,90.33,99.5,92,82,116.67,108.83,137,138.67,138.33,"MAPKAPK2"
"3535","ENST00000314754","12_66_1386",1332,27,30.33,33.17,37,38.5,29.67,63.83,72.67,64,137,101.33,112,"CD55"
"3536","ENST00000366934","3_112_1240",1133,22,24.5,24.5,42,29,31,98.5,102.5,101.5,137,102.5,114,"GPATCH2"
"3537","ENST00000525566","5_25_1966",1959,96.28,105.95,93.35,114.67,106.35,107.65,90.27,94.28,90.05,137,90.13,124.61,"TXNRD1"
"3538","ENST00000319420","3_57_942",886,86,125,115,78,63,64,107,94,112,137,99,126,"SHISA2"
"3539","ENST00000566586","5_440_8636",8219,120,124.5,139,111.5,102.5,85.5,101,94.5,85.5,137,105,100.5,"MGA"
"3540","ENST00000439109","6_122_728",609,94,114.25,100,104.5,107,92,122,126,128,137,106.75,132.5,"NQO1"
"3541","ENST00000406438","4_976_3292",2319,68,81,79,51,62,42,83,74,76,137,146,161,"SMCR8"
"3542","ENST00000361099","7_389_2639",2272,139,124,142.5,122,117,116,157,143,154,137,105.5,133,"STAT1"
"3543","ENST00000355810","8_952_1060",114,0,0,0,9,4,8,76,117,69,137,80,85,"ART3"
"3544","ENST00000287218","8_448_1129",688,78,87,64,72,52,52,77,81,64,137,118,139,"ZFAND3"
"3545","ENST00000342981","8_415_5215",4832,384.73,386.7,391.46,369.98,358.05,325.25,243.05,239.67,272.74,136.98,139.81,186.77,"EIF4G1"
"3546","ENST00000346169","6_272_5069",4829,384.73,386.7,391.46,369.98,358.05,325.25,243.05,239.67,272.74,136.98,139.81,186.77,"EIF4G1"
"3547","ENST00000424196","5_390_5208",4851,385.73,387.7,391.46,370.98,358.05,325.25,243.05,239.67,272.74,136.98,139.81,186.77,"EIF4G1"
"3548","ENST00000378278","6_60_2115",2068,33.75,27.75,21.25,21,18.75,23.25,43,44.5,49.75,136.75,109.75,133.75,"DCLRE1C"
"3549","ENST00000504405","5_1_3130",3140,47.59,53.04,48.24,45.05,37.01,39.36,105.72,106.45,109.48,136.53,121,137.36,"ABL2"
"3550","ENST00000618773","4_258_840",590,57.5,63.5,61.5,76,66,60.5,84,94.33,83,136.5,94,107.5,"UCHL3"
"3551","ENST00000423516","5_81_1974",1907,369.5,394.5,391,381,378,359.5,305.5,275,273,136.5,151,193.5,"TKT"
"3552","ENST00000462138","5_90_1959",1882,369.5,394.5,391,381,378,359.5,305.5,275,273,136.5,151,193.5,"TKT"
"3553","ENST00000261426","9_214_2158",1955,160.66,157,147.16,194.83,169.5,174.83,163.33,183.83,179.83,136.5,103.5,102.33,"KLHL5"
"3554","ENST00000602925","5_417_6144",5759,123,133.5,130,101.5,103,93.5,44.5,56.5,59,136.5,96.5,94,"DENND4C"
"3555","ENST00000361264","8_343_1702",1367,115.5,142.5,106.5,101.5,96,117.5,112.5,113,110.5,136.5,134.5,160.5,"DCAF12"
"3556","ENST00000342669","7_446_800",356,157.33,215.33,195.16,203.33,217.66,176.5,226.16,264.5,234,136.33,159.66,187,"SNRPD2"
"3557","ENST00000391932","7_199_523",325,156.33,215.33,194.66,203.33,216.66,176,225.66,264,233,136.33,157.66,186,"SNRPD2"
"3558","ENST00000416445","6_55_1267",1224,68.5,81.9,69.5,64.65,59.6,56.35,75.55,82.25,78.85,136.3,106.2,106.4,"CALCOCO2"
"3559","ENST00000357156","6_51_339",293,213,272,230,226,237,221,228,245,265,136.25,150,168,"DYNLRB1"
"3560","ENST00000411594","6_56_2654",2617,74,70,71.33,49.5,47.83,54,93.5,104,107.83,136.16,115.5,129,"BRD8"
"3561","ENST00000331173","5_43_1891",1848,157,177,139,138,139,111,202,187,196,136,124,141,"CSTF2T"
"3562","ENST00000301919","8_1417_2452",1036,77,78,79,121,92,109,126,152,115,136,95,141,"MSANTD4"
"3563","ENST00000381714","7_441_1470",1038,80,101,75,89,92,106,78,79,75,136,131,164,"HMG20A"
"3564","ENST00000295802","8_114_1944",1840,133,172,163,112,162,123,205,171,195,136,140,199,"RETSAT"
"3565","ENST00000392350","7_104_563",461,95,76,108,100,101,81,162,140,146,136,68,106,"ORMDL1"
"3566","ENST00000255764","3_112_517",408,40,48,43,36,50,24,74,67,79,136,116,135,"MED10"
"3567","ENST00000461988","5_196_2146",1966,112,145,138,129,128,123,136,154,163,136,133,210,"POR"
"3568","ENST00000614113","4_861_1302",444,1564,1761,1614.5,1421.5,1483.5,1326.5,755.5,730,668.5,136,126,145,"CAV1"
"3569","ENST00000393313","5_593_2585",1995,108,102,79,141,133,130,210,200,228,136,98,126,"ZNF800"
"3570","ENST00000374343","4_180_2172",2004,91,113.5,106.5,116,96.5,101.5,90,87,88.5,135.5,95.5,96.5,"TMEM57"
"3571","ENST00000394510","6_143_4445",4332,92.33,91.67,83.67,80.33,80.33,67,107.33,91,111,135.33,128,144.66,"AKAP13"
"3572","ENST00000367241","3_382_1585",1206,118,122.33,120.5,100.33,101.5,114.83,151,159.17,142.5,135.33,97.33,111.83,"FBXO5"
"3573","ENST00000396253","7_464_3509",3063,81,74.5,80.5,85.5,89.5,75.5,88,104,90.5,135,89,121,"HPS5"
"3574","ENST00000280346","10_660_2601",1956,164,192,185,191,159,158,120,153,136,135,133,135,"DLAT"
"3575","ENST00000526691","5_457_2104",1663,98.28,105.95,93.35,115.67,106.35,107.65,90.27,93.28,92.05,135,88.13,122.61,"TXNRD1"
"3576","ENST00000524698","5_61_1702",1657,97.28,105.95,93.35,115.67,106.35,107.65,90.27,93.28,90.05,135,88.13,122.61,"TXNRD1"
"3577","ENST00000353258","7_182_1175",998,125,153,129,149,135,136,161,163,175,135,120,124,"GDE1"
"3578","ENST00000566157","5_190_1750",1574,195,243,220,198,188,196,155,199,173,135,134,150,"OGFOD1"
"3579","ENST00000319121","3_230_2186",1957,68,95,79,63,51,52,106,107,117,135,129,147,"KLHL11"
"3580","ENST00000269856","4_820_2182",1364,111,151,113,95,105,91,199,208,194,135,149,176,"FEM1A"
"3581","ENST00000272444","7_43_1174",1139,89,133,92,92,90,82,133,156,132,135,109,117,"DUSP11"
"3582","ENST00000323534","4_425_974",551,107,136,119,230,234,234,269,248,242,135,117,159,"RAP2B"
"3583","ENST00000367591","4_64_1183",1132,81,98,77,107,71,53,74,92,107,135,102,119,"PEX3"
"3584","ENST00000396751","6_457_1813",1369,253.66,274.16,259.83,321.25,306.25,287.66,305.75,332.75,332.16,134.83,135.92,142.92,"ILK"
"3585","ENST00000313601","10_436_1450",1023,305.67,361.83,350.42,316.67,323.67,303.58,275,296.17,256.5,134.75,109.58,141.5,"GNAI2"
"3586","ENST00000511413","5_1_3238",3249,47.59,53.18,47.91,44.72,36.68,38.36,104.6,105.12,107.94,134.71,120.62,134.86,"ABL2"
"3587","ENST00000539214","5_320_1223",910,120,127.5,116,110.5,95,96.5,110,113,99,134.5,116.5,137.5,"OAT"
"3588","ENST00000507237","5_119_638",522,8,10.5,14,19,7.5,16.5,64,78,66.5,134.5,100,124,"TMEM185A"
"3589","ENST00000377705","5_34_2140",2117,146,162,129,136,131,123,86,94,91,134,95,98,"NOL9"
"3590","ENST00000373548","7_85_1531",1461,167,155,148,140,145,148,135,115,100,134,112,152,"HDAC1"
"3591","ENST00000371429","3_600_2622",2039,274,291,240,279,213,210,197,165,190,134,110,122,"NDC1"
"3592","ENST00000373970","3_143_938",800,408,431,430,406,467,362,235,259,242,134,94,133,"DKK1"
"3593","ENST00000334660","9_241_826",593,129,144,134,146,140,137,148,152,139,134,118,121,"CHP1"
"3594","ENST00000299192","7_192_2232",2056,154,173,119,105,127,97,135,134,132,134,108,126,"HEATR3"
"3595","ENST00000614411","1_1030_1573",545,106,110,101,63,65,61,67,86,70,134,103,130,"DUSP14"
"3596","ENST00000580947","1_187_538",355,81,89,99,75,90,88,124,120,109,134,133,177,"SUPT4H1"
"3597","ENST00000581287","5_2323_3718",1400,1071,1185,1271,958,825,924,559,569,482,134,124,171,"SLC16A3"
"3598","ENST00000371582","8_33_894",870,98,80.5,80,84.5,77,77,120,128.5,109,134,114,128.5,"DPM1"
"3599","ENST00000545947","5_798_3408",2613,361,448,442,372,369,354,307,245,284,134,144,166,"DAG1"
"3600","ENST00000184266","2_52_439",391,176.5,191.5,180.5,187.5,190.5,192,215,270,263.5,134,156,168,"NDUFB4"
"3601","ENST00000325366","13_128_1454",1336,107,92,116,109,118,108,139,121,119,134,102,115,"C5orf22"
"3602","ENST00000389805","8_179_1499",1329,254,288.5,259.5,197,186.5,167.5,120,109.5,112.5,134,124,157.5,"SQSTM1"
"3603","ENST00000375780","6_574_1297",728,1664,1970,1830,1554,1561,1427,921,900,808,134,134,193,"CLIC1"
"3604","ENST00000262903","8_392_3005",2635,88,74,69,119,87,87,114,110,115,134,89,135,"HACE1"
"3605","ENST00000005257","6_381_999",623,73,59,64,64,81,54,88,79,82,134,80,87,"RALA"
"3606","ENST00000623535","1_307_2881",2588,32,28.5,41.5,67,54,52.5,97,102,98.5,134,128.5,126.5,"CDKL5"
"3607","ENST00000370986","8_435_930",500,42.83,53.17,45.33,29.67,27.67,18.42,106.75,110.67,87.92,133.92,94.58,98.5,"GADD45A"
"3608","ENST00000368300","8_213_2205",2005,602.58,714.33,688.91,645.33,558.25,555.33,441.08,416.91,388.08,133.75,117.08,160.92,"LMNA"
"3609","ENST00000592558","1_59_635",584,155.83,181.66,170.33,171,175.33,172,205,214.5,179.16,133.67,133.67,156.83,"EIF3K"
"3610","ENST00000369093","6_34_1207",1184,119,115.5,114,80,85.5,86.5,109.5,114.5,111.5,133.5,110,109,"TIAL1"
"3611","ENST00000436547","6_49_1171",1133,119,115.5,114,80,85.5,86.5,109.5,114.5,111.5,133.5,110,109,"TIAL1"
"3612","ENST00000266087","11_328_1894",1576,150.5,157.5,137,120.83,119,124,118,128.67,114.5,133.5,104.83,116.67,"FBXO7"
"3613","ENST00000335626","8_1972_5950",3981,77,73,87,53.5,48,51,69,77,78.5,133.5,123,116,"TCF20"
"3614","ENST00000296805","7_486_2796",2329,47.17,46,62.5,56.5,52.33,42.67,95.5,85.67,82.5,133.5,94.67,100.33,"GFM2"
"3615","ENST00000372348","6_375_3822",3459,363.5,442.5,392.5,240,218,212.5,156.5,154,140.5,133.5,132,197,"ABL1"
"3616","ENST00000033079","7_807_3198",2410,31,25.33,20.33,22.33,13.67,13.67,30.67,34.67,29,133.33,89.67,104.33,"FAM13B"
"3617","ENST00000375490","9_144_945",807,26.67,32.33,34.33,81.83,69.5,77.17,136,135,125.83,133.17,98.67,122.33,"RBM7"
"3618","ENST00000342386","10_58_2578",2532,92.67,76.67,77.33,89,75.33,85,58.33,77,64.67,133,83.67,108.33,"MASTL"
"3619","ENST00000449909","7_91_7291",7240,38,41,31.33,37,35.33,34,29.33,29.67,33.67,133,93.33,115.66,"DMXL2"
"3620","ENST00000420239","6_565_2065",1513,40.75,36.5,40.25,31.25,25.92,27.67,58.92,77.67,66.67,133,110.42,120.5,"CHD2"
"3621","ENST00000321765","9_397_3913",3538,508,533,527,525,484,444,331,349,344,133,119,148,"SPAG5"
"3622","ENST00000619387","4_252_1932",1693,139,176,146,160,93,126,122,133,129,133,125,139,"AATF"
"3623","ENST00000261596","8_240_2928",2706,185,183,197,193,208,181,157,142,159,133,124,130,"LPIN2"
"3624","ENST00000258455","7_111_1299",1200,55,84,82,74,59,60,99,89,93,133,134,149,"MRPS9"
"3625","ENST00000371588","9_28_808",788,98,80.5,80,84.5,77,74,120,126.5,109,133,114,127.5,"DPM1"
"3626","ENST00000358387","8_662_1706",1050,155,161,150,155,147,159,205,197,188,133,107,129,"TXNDC15"
"3627","ENST00000428849","6_451_2470",2031,309,321,346,292,322,313,391,394,397,133,140,169,"KIFC1"
"3628","ENST00000623267","3_44_185",141,18,22,27,31,19,22,48,44,34,133,98,159,NA
"3629","ENST00000308511","8_250_3019",2790,301,363,344,316,326,285,241,223,238,133,140,201,"CCAR2"
"3630","ENST00000507173","5_1_3175",3185,47.39,52.98,47.91,44.32,36.68,37.96,104.4,104.52,106.29,132.61,120.02,132.96,"ABL2"
"3631","ENST00000509093","5_815_1835",1030,59.75,56.08,56.75,59.08,54.33,54.5,75,91.83,82.83,132.58,92.17,98.83,"COPS4"
"3632","ENST00000374612","5_125_2024",1908,141.73,156,152.66,128.53,129.2,118,110.13,119,109.33,132.53,97.8,127.66,"HNRNPR"
"3633","ENST00000374616","7_110_2018",1917,141.73,156,152.66,128.53,129.2,118,110.13,119,109.33,132.53,97.8,127.66,"HNRNPR"
"3634","ENST00000359486","7_1974_6018",4047,79,75,85,53.5,48,52,69,78,79.5,132.5,123,116,"TCF20"
"3635","ENST00000307808","10_421_4051",3651,40,38.5,43,42.5,48.5,55.5,116,133,125.5,132.5,128,170,"AFF1"
"3636","ENST00000509156","5_91_1906",1822,59,63,74.5,68.5,58.5,59,52.5,58,47.5,132.5,86.5,122.5,"ZNF131"
"3637","ENST00000502717","5_504_4341",3857,329.5,379.5,359,262.5,300,241,194.5,177,178.5,132.5,131,134.5,"HMGXB3"
"3638","ENST00000538954","5_118_622",509,31.17,41.17,33.67,39.67,28.17,36.5,95.83,107.33,94.67,132.5,104.33,127.67,"STOM"
"3639","ENST00000311180","8_104_1931",1831,45.67,62.5,61.33,54.5,41,41.5,111.5,110.33,126.5,132.33,108.33,137.67,"PDE12"
"3640","ENST00000540163","5_643_1441",804,26.67,32.33,34.33,81.83,69.5,77.17,136,135,125.83,132.17,98.67,122.33,"RBM7"
"3641","ENST00000375799","7_228_3285",3078,165,213,150,175,144,154,132,147,154,132,132,182,"PLEKHM2"
"3642","ENST00000451137","6_225_1368",1149,581,563,559,118,155,103,163,174,168,132,97,162,"CYR61"
"3643","ENST00000318130","12_442_3064",2640,253,287,223,245,224,216,161,160,167,132,102,95,"EDEM3"
"3644","ENST00000378116","8_8_2678",2677,192,135,168,160,149,133,99,90,101,132,152,192,"FAM171A1"
"3645","ENST00000372391","6_1462_5764",4326,245,265,276,237,212,223,140,114,124,132,139,175,"DLG5"
"3646","ENST00000532437","1_313_5500",5196,478,552,490,415,334,375,259,200,243,132,141,179,"TNKS1BP1"
"3647","ENST00000313663","11_228_6117",5919,94,107,103,105,95.5,90,89,85.5,88.5,132,106,118,"C2CD3"
"3648","ENST00000448372","5_424_2329",1920,131,123,116,128,117,86,85,77,82,132,86,95,"SENP1"
"3649","ENST00000300093","8_112_1921",1820,420,526,533,378,375,378,359,373,316,132,130,169,"PLK1"
"3650","ENST00000317276","8_239_4109",3891,137,157,155,38,34,43,39,50,71,132,127,192,"PER1"
"3651","ENST00000407327","8_22_2134",2135,386,456.5,438,396,416.5,381.5,338,340.5,299,132,128,139,"SLC44A2"
"3652","ENST00000335757","9_377_2495",2141,386,458.5,441,397,416.5,382.5,338,341.5,301,132,128,139,"SLC44A2"
"3653","ENST00000262259","6_359_2492",2138,27,57,36,33,52,30,34,38,38,132,110,89,"ZNF175"
"3654","ENST00000409998","5_783_2166",1394,67,64,82,259,239,217,285.5,280,274,132,95,122,"CALCRL"
"3655","ENST00000279022","6_105_621",520,289,361,358.5,298,366.5,326.5,312.5,322.5,311,132,125,175,"MYL9"
"3656","ENST00000264926","6_223_1603",1391,97,144,121,129,139,130,87,127,102,132,96,111,"RAD18"
"3657","ENST00000383794","6_74_1475",1413,79,80,55,57,57,43,95,136,130,132,117,155,"CCDC174"
"3658","ENST00000614462","4_66_249",184,79,96.5,79.5,99,87.5,73,104.5,109.5,105,132,96.5,99.5,"C8orf59"
"3659","ENST00000315869","7_261_1986",1734,299,364,340,291,305,239,228,247,223,132,121,153,"TFE3"
"3660","ENST00000614486","4_52_691",646,117,136.67,132.5,129.67,134.5,130.5,158.33,158.33,151.67,131.67,139,158.33,"PSMB6"
"3661","ENST00000557644","5_147_2148",2017,79,83.5,73.17,108.17,120.5,100.67,229,230.83,212.33,131.5,95.33,135.33,"NEDD1"
"3662","ENST00000266742","8_340_2320",1995,79,83.5,73.17,106.17,119.5,100.67,228,228.83,212.33,131.5,95.33,135.33,"NEDD1"
"3663","ENST00000380950","6_189_5319",5155,47,54.5,61.5,65.5,55.5,50.5,86.5,77,88.5,131.5,102,115,"CEP152"
"3664","ENST00000509634","5_511_2224",1721,57,63,74.5,67.5,57.5,59,50.5,57,47.5,131.5,85.5,117.5,"ZNF131"
"3665","ENST00000345239","6_236_2405",2187,45.67,45,60.5,56.5,51.33,41.67,95,83.17,81.5,131.5,93.67,98.83,"GFM2"
"3666","ENST00000401473","7_250_538",293,254,318,294.5,215.5,241.5,249.5,223,239,234.5,131.5,73,81.5,"HMGA1"
"3667","ENST00000447654","5_490_811",326,254,318,294.5,215.5,241.5,249.5,223,239,234.5,131.5,73,81.5,"HMGA1"
"3668","ENST00000508679","5_81_1203",1134,67.25,81.65,67.75,64.4,57.35,57.85,71.05,79.75,76.35,131.3,103.2,103.4,"CALCOCO2"
"3669","ENST00000414031","5_589_5122",4563,367.78,362.23,361.03,342.63,337.36,306.97,228.87,228.39,254.34,131.26,136.44,179.04,"EIF4G1"
"3670","ENST00000310653","10_503_1127",631,59.25,66,65.5,60.67,61.25,64,68.67,81.5,78.42,131.17,102.42,120.17,"RAB6A"
"3671","ENST00000267750","8_117_666",555,66,71.5,95.83,87.83,75.5,71,105,118.83,130.17,131.17,88.83,111.17,"EMC4"
"3672","ENST00000361983","6_113_1976",1871,195,225,219,176,155,164,153,151,125,131,117,134,"KIF1BP"
"3673","ENST00000503506","6_575_2066",1505,94.95,100.95,89.35,111,102.35,103.65,85.6,88.95,86.05,131,85.8,115.95,"TXNRD1"
"3674","ENST00000352732","9_521_1796",1285,269,284,252,274,289,234,157,178,154,131,99,144,"ABHD2"
"3675","ENST00000323456","9_126_3711",3602,245,302,247,208,202,176,136,162,174,131,138,155,"MTMR4"
"3676","ENST00000296490","7_283_1222",947,188,191,191,110,107,104,100,109,110,131,102,115,"WDR82"
"3677","ENST00000304312","4_92_299",210,253,267,233,228,247,231,235,318,288,131,99,205,"ATP5I"
"3678","ENST00000397588","7_350_1982",1640,68.5,81,63,111,122.5,132,137.5,142,125.5,131,82.5,118.5,"CDYL"
"3679","ENST00000490996","1_1_559",561,298,324.5,238.5,305.5,276,269,262,281,240,131,90,112.5,"KDELR2"
"3680","ENST00000380733","8_345_1935",1604,218.67,247.67,220.67,221.67,184.67,185,127,134.33,131.67,131,101.33,118,"PSIP1"
"3681","ENST00000217961","4_236_1970",1744,333,318,262,307,256,271,223,250,229,131,114,124,"STS"
"3682","ENST00000528995","5_129_1302",1184,247.66,266.16,254.83,312.25,298.75,279.16,293.25,324.25,321.66,130.83,132.92,139.42,"ILK"
"3683","ENST00000369080","4_790_2335",1552,27.5,30.5,32,42,39.5,36,74.5,62.5,67.5,130.5,96,103,"INPP5F"
"3684","ENST00000389547","7_325_3754",3455,121.5,145.5,117.5,83.5,94.5,87,99.5,125.5,111,130.5,143,157.5,"PPFIA1"
"3685","ENST00000565380","5_159_3492",3351,108.83,111,107.83,101.17,81.83,83.83,74,71.17,80.5,130.5,106.83,122.16,"ZNF106"
"3686","ENST00000399334","7_35_4997",4986,45,48.5,60.5,60.5,55.5,48.5,83.5,76,86.5,130.5,98,114,"CEP152"
"3687","ENST00000617428","2_359_3365",3026,86,88,78,69,67.5,57.5,65,49,49.5,130.5,102,138,"CTD-2207O23.3"
"3688","ENST00000425075","6_670_3043",2392,31,24.33,20.33,22.33,12.67,13.67,30.67,34.67,29,130.33,89.67,102.33,"FAM13B"
"3689","ENST00000368299","7_198_2040",1855,587.58,690.33,675.41,625.33,543.25,540.33,424.58,402.41,378.08,130.25,113.58,158.42,"LMNA"
"3690","ENST00000388768","6_481_2251",1786,61.5,46.83,61.83,56,52.17,52.33,43.17,69.17,48.33,130.17,78,81.5,"RUFY2"
"3691","ENST00000616288","4_324_2775",2466,105.17,102.83,104.83,78.67,88.67,68.67,85,87.17,80.33,130.16,110.33,117.33,"PPP4R3B"
"3692","ENST00000271688","10_427_1567",1149,447,532,492,420,447,384,324,297,323,130,151,168,"CERS2"
"3693","ENST00000314891","10_179_1751",1585,107,124,98,106,81,84,193,210,225,130,136,159,"LPCAT4"
"3694","ENST00000246117","8_432_2121",1705,251,290,250,266,266,284,267,270,260,130,162,209,"NCLN"
"3695","ENST00000262643","7_415_1510",1105,32,33,30,16,23,17,24,43,33,130,114,145,"CCNE1"
"3696","ENST00000261439","8_1226_3860",2653,210,208.5,223.5,244.5,222.5,221,193.5,200,212.5,130,112.5,121,"TBC1D1"
"3697","ENST00000318238","8_1245_5970",4725,210,204,183,497,483,447,556,617,530,130,65,109,"SAMD9L"
"3698","ENST00000249356","3_592_1216",627,46,34,30,17,14,17,57,76,52,130,96,113,"DNAJB9"
"3699","ENST00000404141","5_189_3363",3194,112,130,111,59,91,65,90,80,90,130,115,130,"PAXIP1"
"3700","ENST00000355904","8_284_1157",879,145,114,125,127,126,103,112,105,117,130,103,93,"GTF2E2"
